Titre,Lien,Description,Type du bulletin,Date publication bulletin anssi,Editeur,Produits impactés,Versions concernés,CVE,CWE,CWE Description,CVSS Score,CVSS Severity,EPSS
Multiples vulnérabilités dans les produits IBM (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0003/,"De multiples vulnérabilités ont été découvertes dans les produits IBM. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",Avis,2025-01-02,IBM,"Db2, Db2, Db2","Db2 warehouse versions antérieures à 5.1, Db2 Big SQL versions antérieures à 7.8, Db2 versions antérieures à 5.1",CVE-2023-40374,CWE-20,CWE-20 Improper Input Validation,5.3,Medium,0.003400000
Multiples vulnérabilités dans les produits IBM (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0003/,"De multiples vulnérabilités ont été découvertes dans les produits IBM. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",Avis,2025-01-02,IBM,"Db2, Db2, Db2","Db2 warehouse versions antérieures à 5.1, Db2 Big SQL versions antérieures à 7.8, Db2 versions antérieures à 5.1",CVE-2024-20952,Non disponible,"Difficult to exploit vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise Oracle Java SE, Oracle GraalVM for JDK, Oracle GraalVM Enterprise Edition.  Successful attacks of this vulnerability can result in  unauthorized creation, deletion or modification access to critical data or all Oracle Java SE, Oracle GraalVM for JDK, Oracle GraalVM Enterprise Edition accessible data as well as  unauthorized access to critical data or complete access to all Oracle Java SE, Oracle GraalVM for JDK, Oracle GraalVM Enterprise Edition accessible data.",7.4,High,0.000450000
Multiples vulnérabilités dans les produits IBM (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0003/,"De multiples vulnérabilités ont été découvertes dans les produits IBM. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",Avis,2025-01-02,IBM,"Db2, Db2, Db2","Db2 warehouse versions antérieures à 5.1, Db2 Big SQL versions antérieures à 7.8, Db2 versions antérieures à 5.1",CVE-2022-0759,CWE-295,CWE-295,Non disponible,Non disponible,0.000860000
Multiples vulnérabilités dans les produits IBM (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0003/,"De multiples vulnérabilités ont été découvertes dans les produits IBM. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",Avis,2025-01-02,IBM,"Db2, Db2, Db2","Db2 warehouse versions antérieures à 5.1, Db2 Big SQL versions antérieures à 7.8, Db2 versions antérieures à 5.1",CVE-2024-27281,Non disponible,n/a,Non disponible,Non disponible,Non disponible
Multiples vulnérabilités dans les produits IBM (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0003/,"De multiples vulnérabilités ont été découvertes dans les produits IBM. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",Avis,2025-01-02,IBM,"Db2, Db2, Db2","Db2 warehouse versions antérieures à 5.1, Db2 Big SQL versions antérieures à 7.8, Db2 versions antérieures à 5.1",CVE-2024-39689,CWE-345,CWE-345: Insufficient Verification of Data Authenticity,7.5,High,0.000450000
Multiples vulnérabilités dans les produits IBM (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0003/,"De multiples vulnérabilités ont été découvertes dans les produits IBM. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",Avis,2025-01-02,IBM,"Db2, Db2, Db2","Db2 warehouse versions antérieures à 5.1, Db2 Big SQL versions antérieures à 7.8, Db2 versions antérieures à 5.1",CVE-2023-39976,Non disponible,n/a,Non disponible,Non disponible,0.001120000
Multiples vulnérabilités dans les produits IBM (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0003/,"De multiples vulnérabilités ont été découvertes dans les produits IBM. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",Avis,2025-01-02,IBM,"Db2, Db2, Db2","Db2 warehouse versions antérieures à 5.1, Db2 Big SQL versions antérieures à 7.8, Db2 versions antérieures à 5.1",CVE-2021-41186,CWE-400,CWE-400: Uncontrolled Resource Consumption,5.9,Medium,0.002520000
Multiples vulnérabilités dans les produits IBM (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0003/,"De multiples vulnérabilités ont été découvertes dans les produits IBM. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",Avis,2025-01-02,IBM,"Db2, Db2, Db2","Db2 warehouse versions antérieures à 5.1, Db2 Big SQL versions antérieures à 7.8, Db2 versions antérieures à 5.1",CVE-2023-33850,CWE-203,CWE-203 Observable Discrepancy,7.5,High,0.001790000
Multiples vulnérabilités dans les produits IBM (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0003/,"De multiples vulnérabilités ont été découvertes dans les produits IBM. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",Avis,2025-01-02,IBM,"Db2, Db2, Db2","Db2 warehouse versions antérieures à 5.1, Db2 Big SQL versions antérieures à 7.8, Db2 versions antérieures à 5.1",CVE-2023-2597,CWE-120,CWE-120,7,High,0.001360000
Multiples vulnérabilités dans les produits IBM (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0003/,"De multiples vulnérabilités ont été découvertes dans les produits IBM. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",Avis,2025-01-02,IBM,"Db2, Db2, Db2","Db2 warehouse versions antérieures à 5.1, Db2 Big SQL versions antérieures à 7.8, Db2 versions antérieures à 5.1",CVE-2023-21968,Non disponible,"Difficult to exploit vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise Oracle Java SE, Oracle GraalVM Enterprise Edition.  Successful attacks of this vulnerability can result in  unauthorized update, insert or delete access to some of Oracle Java SE, Oracle GraalVM Enterprise Edition accessible data.",3.7,Low,0.000490000
Multiples vulnérabilités dans les produits IBM (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0003/,"De multiples vulnérabilités ont été découvertes dans les produits IBM. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",Avis,2025-01-02,IBM,"Db2, Db2, Db2","Db2 warehouse versions antérieures à 5.1, Db2 Big SQL versions antérieures à 7.8, Db2 versions antérieures à 5.1",CVE-2024-33883,Non disponible,n/a,Non disponible,Non disponible,0.001290000
Multiples vulnérabilités dans les produits IBM (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0003/,"De multiples vulnérabilités ont été découvertes dans les produits IBM. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",Avis,2025-01-02,IBM,"Db2, Db2, Db2","Db2 warehouse versions antérieures à 5.1, Db2 Big SQL versions antérieures à 7.8, Db2 versions antérieures à 5.1",CVE-2024-37371,Non disponible,n/a,Non disponible,Non disponible,0.001140000
Multiples vulnérabilités dans les produits IBM (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0003/,"De multiples vulnérabilités ont été découvertes dans les produits IBM. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",Avis,2025-01-02,IBM,"Db2, Db2, Db2","Db2 warehouse versions antérieures à 5.1, Db2 Big SQL versions antérieures à 7.8, Db2 versions antérieures à 5.1",CVE-2023-30991,CWE-20,CWE-20 Improper Input Validation,7.5,High,0.003400000
Multiples vulnérabilités dans les produits IBM (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0003/,"De multiples vulnérabilités ont été découvertes dans les produits IBM. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",Avis,2025-01-02,IBM,"Db2, Db2, Db2","Db2 warehouse versions antérieures à 5.1, Db2 Big SQL versions antérieures à 7.8, Db2 versions antérieures à 5.1",CVE-2024-20918,Non disponible,"Difficult to exploit vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise Oracle Java SE, Oracle GraalVM for JDK, Oracle GraalVM Enterprise Edition.  Successful attacks of this vulnerability can result in  unauthorized creation, deletion or modification access to critical data or all Oracle Java SE, Oracle GraalVM for JDK, Oracle GraalVM Enterprise Edition accessible data as well as  unauthorized access to critical data or complete access to all Oracle Java SE, Oracle GraalVM for JDK, Oracle GraalVM Enterprise Edition accessible data.",7.4,High,0.000450000
Multiples vulnérabilités dans les produits IBM (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0003/,"De multiples vulnérabilités ont été découvertes dans les produits IBM. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",Avis,2025-01-02,IBM,"Db2, Db2, Db2","Db2 warehouse versions antérieures à 5.1, Db2 Big SQL versions antérieures à 7.8, Db2 versions antérieures à 5.1",CVE-2024-6345,CWE-94,CWE-94 Improper Control of Generation of Code,8.8,High,0.000430000
Multiples vulnérabilités dans les produits IBM (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0003/,"De multiples vulnérabilités ont été découvertes dans les produits IBM. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",Avis,2025-01-02,IBM,"Db2, Db2, Db2","Db2 warehouse versions antérieures à 5.1, Db2 Big SQL versions antérieures à 7.8, Db2 versions antérieures à 5.1",CVE-2024-0406,CWE-22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),Non disponible,Non disponible,0.000440000
Multiples vulnérabilités dans les produits IBM (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0003/,"De multiples vulnérabilités ont été découvertes dans les produits IBM. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",Avis,2025-01-02,IBM,"Db2, Db2, Db2","Db2 warehouse versions antérieures à 5.1, Db2 Big SQL versions antérieures à 7.8, Db2 versions antérieures à 5.1",CVE-2023-41993,Non disponible,Processing web content may lead to arbitrary code execution. Apple is aware of a report that this issue may have been actively exploited against versions of iOS before iOS 16.7.,Non disponible,Non disponible,0.004630000
Multiples vulnérabilités dans les produits IBM (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0003/,"De multiples vulnérabilités ont été découvertes dans les produits IBM. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",Avis,2025-01-02,IBM,"Db2, Db2, Db2","Db2 warehouse versions antérieures à 5.1, Db2 Big SQL versions antérieures à 7.8, Db2 versions antérieures à 5.1",CVE-2024-41946,CWE-400,CWE-400: Uncontrolled Resource Consumption,5.3,Medium,0.000560000
Multiples vulnérabilités dans les produits IBM (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0003/,"De multiples vulnérabilités ont été découvertes dans les produits IBM. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",Avis,2025-01-02,IBM,"Db2, Db2, Db2","Db2 warehouse versions antérieures à 5.1, Db2 Big SQL versions antérieures à 7.8, Db2 versions antérieures à 5.1",CVE-2024-33599,CWE-121,CWE-121 Stack-based Buffer Overflow,Non disponible,Non disponible,0.000450000
Multiples vulnérabilités dans les produits IBM (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0003/,"De multiples vulnérabilités ont été découvertes dans les produits IBM. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",Avis,2025-01-02,IBM,"Db2, Db2, Db2","Db2 warehouse versions antérieures à 5.1, Db2 Big SQL versions antérieures à 7.8, Db2 versions antérieures à 5.1",CVE-2024-41123,CWE-400,CWE-400: Uncontrolled Resource Consumption,5.3,Medium,0.000560000
Multiples vulnérabilités dans les produits IBM (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0003/,"De multiples vulnérabilités ont été découvertes dans les produits IBM. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",Avis,2025-01-02,IBM,"Db2, Db2, Db2","Db2 warehouse versions antérieures à 5.1, Db2 Big SQL versions antérieures à 7.8, Db2 versions antérieures à 5.1",CVE-2024-45491,Non disponible,n/a,Non disponible,Non disponible,0.000910000
Multiples vulnérabilités dans les produits IBM (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0003/,"De multiples vulnérabilités ont été découvertes dans les produits IBM. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",Avis,2025-01-02,IBM,"Db2, Db2, Db2","Db2 warehouse versions antérieures à 5.1, Db2 Big SQL versions antérieures à 7.8, Db2 versions antérieures à 5.1",CVE-2024-24786,Non disponible,CWE-1286: Improper Validation of Syntactic Correctness of Input,Non disponible,Non disponible,0.000450000
Multiples vulnérabilités dans les produits IBM (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0003/,"De multiples vulnérabilités ont été découvertes dans les produits IBM. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",Avis,2025-01-02,IBM,"Db2, Db2, Db2","Db2 warehouse versions antérieures à 5.1, Db2 Big SQL versions antérieures à 7.8, Db2 versions antérieures à 5.1",CVE-2023-21930,Non disponible,"Difficult to exploit vulnerability allows unauthenticated attacker with network access via TLS to compromise Oracle Java SE, Oracle GraalVM Enterprise Edition.  Successful attacks of this vulnerability can result in  unauthorized creation, deletion or modification access to critical data or all Oracle Java SE, Oracle GraalVM Enterprise Edition accessible data as well as  unauthorized access to critical data or complete access to all Oracle Java SE, Oracle GraalVM Enterprise Edition accessible data.",7.4,High,0.000490000
Multiples vulnérabilités dans les produits IBM (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0003/,"De multiples vulnérabilités ont été découvertes dans les produits IBM. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",Avis,2025-01-02,IBM,"Db2, Db2, Db2","Db2 warehouse versions antérieures à 5.1, Db2 Big SQL versions antérieures à 7.8, Db2 versions antérieures à 5.1",CVE-2023-30987,CWE-20,CWE-20 Improper Input Validation,5.3,Medium,0.003400000
Multiples vulnérabilités dans les produits IBM (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0003/,"De multiples vulnérabilités ont été découvertes dans les produits IBM. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",Avis,2025-01-02,IBM,"Db2, Db2, Db2","Db2 warehouse versions antérieures à 5.1, Db2 Big SQL versions antérieures à 7.8, Db2 versions antérieures à 5.1",CVE-2022-24795,CWE-122,CWE-122: Heap-based Buffer Overflow,5.9,Medium,0.021790000
Multiples vulnérabilités dans les produits IBM (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0003/,"De multiples vulnérabilités ont été découvertes dans les produits IBM. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",Avis,2025-01-02,IBM,"Db2, Db2, Db2","Db2 warehouse versions antérieures à 5.1, Db2 Big SQL versions antérieures à 7.8, Db2 versions antérieures à 5.1",CVE-2024-29857,Non disponible,n/a,Non disponible,Non disponible,Non disponible
Multiples vulnérabilités dans les produits IBM (03 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0003/,"De multiples vulnérabilités ont été découvertes dans les produits IBM. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",Avis,2025-01-02,IBM,"Db2, Db2, Db2","Db2 warehouse versions antérieures à 5.1, Db2 Big SQL versions antérieures à 7.8, Db2 versions antérieures à 5.1",CVE-2023-6597,Non disponible,Non disponible,7.8,High,0.000450000
